id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
377;7105;GUIRALDES, INT.;2672;2720;2671;2719;;CALLE;corrección nombre;Ciclovías en obra;;;;{"type":"MultiLineString","coordinates":[[[-58.4386026255247,-34.5459538118206],[-58.4385590301777,-34.5456887396068],[-58.4385551918832,-34.5453424785639]]]}
896;16003;OBLIGADO RAFAEL, Av.Costanera;6182;6200;6181;6199;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4292160149382,-34.550846455114],[-58.4296897417879,-34.5505228493016]]]}
1035;16003;OBLIGADO RAFAEL, Av.Costanera;5992;6100;5991;6099;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4269016815398,-34.5519702167142],[-58.4284803082508,-34.5512832687335]]]}
1079;16003;OBLIGADO RAFAEL, Av.Costanera;5902;5990;5901;5989;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4260238726101,-34.5522978586417],[-58.4269016815398,-34.5519702167142]]]}
1181;16003;OBLIGADO RAFAEL, Av.Costanera;5502;5900;5501;5899;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4235789340143,-34.5531261519863],[-58.4241087815299,-34.5529463816078],[-58.4248091036299,-34.5527320851862],[-58.4260238726101,-34.5522978586417]]]}
1724;16003;OBLIGADO RAFAEL, Av.Costanera;4202;4500;4201;4499;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4111695368984,-34.5576819724655],[-58.4121068758127,-34.5570324277086],[-58.4127918177818,-34.5566033935411],[-58.413768264828,-34.5560734533812]]]}
1828;16003;OBLIGADO RAFAEL, Av.Costanera;3452;4200;3451;4199;COSTANERA NORTE, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4097778347315,-34.558784480676],[-58.4105854615027,-34.5581408541548],[-58.4111695368984,-34.5576819724655]]]}
2235;6025;FIGUEROA ALCORTA, PRES. AV.;5382;5400;5381;5399;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4233683615388,-34.5626785580402],[-58.423573603001,-34.5624072309786],[-58.423722541812,-34.5622332667196],[-58.4239023500394,-34.5620170093619]]]}
2387;6025;FIGUEROA ALCORTA, PRES. AV.;5302;5380;5301;5379;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4225999203074,-34.5640366780426],[-58.4227811404168,-34.5637327803425],[-58.4232746602956,-34.5628014910189],[-58.4233683615388,-34.5626785580402]]]}
4846;20075;SARMIENTO AV.;2602;3100;2601;3099;;AVENIDA;corrección numeración 22-1;Ciclovías;Mano izquierda;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.4205842879586,-34.5807941144418],[-58.4172679537224,-34.5773494677747]]]}
7367;21059;TRONADOR;0;0;0;0;ESTOMBA Y PLAZA;CALLE;s/n corrección 10-1;Bicisendas;;;;{"type":"MultiLineString","coordinates":[[[-58.4743341495831,-34.5923059940027],[-58.4730262226533,-34.5912561534917],[-58.472994451924,-34.5912051682321],[-58.4730156481302,-34.5911367130143]]]}
8300;1087;ANTARTIDA ARGENTINA AV.;0;0;0;0;;AVENIDA;;Ciclovías;Mano izquierda;Vereda;;{"type":"MultiLineString","coordinates":[[[-58.3686183127806,-34.5969187857638],[-58.3695819066381,-34.5942154064155]]]}
8646;7135;GRIERSON, CECILIA;52;100;51;99;;CALLE;corrección nombre y núm.28-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3681163318431,-34.5984371881812],[-58.36798070147,-34.5984018703661],[-58.367777702989,-34.5982929760833],[-58.3673594031048,-34.5982597613952],[-58.3666064564148,-34.5983250183593],[-58.3659609314573,-34.5982928169569]]]}
29027;23484;VILLAFLOR, AZUCENA;0;0;0;0;MONSERRAT-BELGRANO, AV.;BOULEVARD;corrección númeración 28-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3634219847072,-34.6117163447285],[-58.3635497985666,-34.6117473356612],[-58.3636549669589,-34.6117856367009]]]}
14271;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3580771647541,-34.6171622825112],[-58.3579647653707,-34.617736149751],[-58.3577032034707,-34.6192549964265]]]}
24549;12172;LAVADERO;2102;2200;2101;2199;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3741861848045,-34.6564837743008],[-58.374425738556,-34.6566217362503],[-58.374768585955,-34.6567511861103],[-58.375102934831,-34.6568289070611],[-58.3753384256734,-34.6568260537498]]]}
1531;2083;BLANCO ENCALADA;1802;1850;1801;1849;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4538859370708,-34.556124632585],[-58.4537719639386,-34.5560563817592],[-58.453544273595,-34.5559199502312]]]}
12147;20030;CALABRIA AV.;0;0;0;0;SANCHEZ, FLORENCIO;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.35896767826,-34.6117674294949],[-58.3589165018053,-34.6118223175172],[-58.3588507298155,-34.6119009967637],[-58.3588166013779,-34.611946180595],[-58.3587871559818,-34.6119928473314],[-58.3587565763472,-34.6120610631608],[-58.358727026731,-34.6121229416046],[-58.3587087804456,-34.6122053937913],[-58.3587063940666,-34.6122747604343],[-58.358706309847,-34.6123422979875],[-58.3586764411541,-34.6125915772019]]]}
10391;4046;DE LOS ITALIANOS AV.;0;0;0;0;;AVENIDA;corrección numeración 29-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3612789606035,-34.6053918872289],[-58.3594357542664,-34.6106203620685]]]}
27748;20127;SUPERI;0;0;0;0;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4615491593006,-34.5735079726459],[-58.4617302962928,-34.5734321894167]]]}
27809;7109;GUTENBERG;0;0;0;0;LA VIA DEL TRANVIA REAL;CALLE;;Bicisendas;;;;{"type":"MultiLineString","coordinates":[[[-58.4697538828259,-34.5921888178968],[-58.4743341495831,-34.5923059940027]]]}
28963;12107;DEL LIBERTADOR AV.;0;0;5451;5499;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4433696292422,-34.5617178987094],[-58.4443133575758,-34.5614462132539]]]}
60;16002;VUELTA DE OBLIGADO;4802;4900;4801;4899;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4737109603418,-34.5393651469221],[-58.474141009074,-34.5387847272268]]]}
80;16002;VUELTA DE OBLIGADO;4702;4800;4701;4799;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4731342057568,-34.5401435449546],[-58.4737109603418,-34.5393651469221]]]}
102;16002;VUELTA DE OBLIGADO;4602;4700;4601;4699;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.472565779754,-34.5409111643269],[-58.473015160511,-34.5403042670308],[-58.4731342057568,-34.5401435449546]]]}
136;16002;VUELTA DE OBLIGADO;4502;4600;4501;4599;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4719930034228,-34.5416846970651],[-58.472565779754,-34.5409111643269]]]}
178;16002;VUELTA DE OBLIGADO;4402;4500;4401;4499;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4714513623062,-34.5424170256405],[-58.4715670095841,-34.5422600379635],[-58.4719930034228,-34.5416846970651]]]}
180;19047;RIVADAVIA MARTIN, COMODORO;0;0;1601;1699;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4637197526703,-34.5424512802497],[-58.4631815565992,-34.5415838193244]]]}
203;19047;RIVADAVIA MARTIN, COMODORO;1702;1740;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4638881040294,-34.5427700967708],[-58.4637197526703,-34.5424512802497]]]}
224;16002;VUELTA DE OBLIGADO;4302;4400;4301;4399;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4708751617976,-34.5431993564281],[-58.4714513623062,-34.5424170256405]]]}
240;19047;RIVADAVIA MARTIN, COMODORO;1742;1800;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4642451535644,-34.543490690508],[-58.4642026810867,-34.543365544233],[-58.4638881040294,-34.5427700967708]]]}
271;16002;VUELTA DE OBLIGADO;4202;4300;4201;4299;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4703026098266,-34.5439766135067],[-58.4708751617976,-34.5431993564281]]]}
309;16002;VUELTA DE OBLIGADO;4102;4200;4101;4199;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4697821297552,-34.5446832980676],[-58.4703026098266,-34.5439766135067]]]}
359;16002;VUELTA DE OBLIGADO;4002;4100;4001;4099;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4692073447625,-34.5454635078389],[-58.4697821297552,-34.5446832980676]]]}
363;20127;SUPERI;4702;4800;4701;4799;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4844991386465,-34.545552584796],[-58.48508280657,-34.5447842034194]]]}
404;16002;VUELTA DE OBLIGADO;3902;4000;3901;3999;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4687337390643,-34.5461064498519],[-58.4692073447625,-34.5454635078389]]]}
416;20127;SUPERI;4602;4700;4601;4699;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4839172468091,-34.5463187093521],[-58.4844991386465,-34.545552584796]]]}
441;19047;RIVADAVIA MARTIN, COMODORO;2002;2100;2001;2099;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4651587111656,-34.5456904981855],[-58.465249872262,-34.5458597296624],[-58.4654467527775,-34.5462839707648],[-58.4655627692964,-34.5464822168819],[-58.4657501113803,-34.5466679957458]]]}
443;10005;JARAMILLO;2052;2100;2051;2099;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4651719203639,-34.5462551724625],[-58.4653541563222,-34.5465062368106],[-58.4656517419266,-34.5468011056065]]]}
455;16002;VUELTA DE OBLIGADO;3802;3900;3801;3899;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4682108494937,-34.5468163671785],[-58.4687337390643,-34.5461064498519]]]}
472;20127;SUPERI;4502;4600;4501;4599;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4833348345096,-34.5470884228472],[-58.4836295726944,-34.5466974388045],[-58.4839172468091,-34.5463187093521]]]}
496;19047;RIVADAVIA MARTIN, COMODORO;0;0;2101;2199;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4657501113803,-34.5466679957458],[-58.4664925083296,-34.54740427718]]]}
513;16002;VUELTA DE OBLIGADO;3702;3800;3701;3799;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4676870148474,-34.5475274090358],[-58.4682108494937,-34.5468163671785]]]}
538;20127;SUPERI;4402;4500;4401;4499;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4827557306223,-34.5478566539834],[-58.4833348345096,-34.5470884228472]]]}
552;19047;RIVADAVIA MARTIN, COMODORO;0;0;2201;2299;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4672993224842,-34.5480429452583],[-58.4663694442109,-34.5475813486664]]]}
553;16002;VUELTA DE OBLIGADO;3652;3700;3651;3699;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4674365774814,-34.5478707454154],[-58.4676870148474,-34.5475274090358]]]}
572;20127;SUPERI;4352;4400;4351;4399;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4824662597786,-34.5482406628342],[-58.4827557306223,-34.5478566539834]]]}
579;4111;MONROE;702;800;701;799;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4421920114545,-34.5477738285026],[-58.4431384445156,-34.5483347847087]]]}
585;16002;VUELTA DE OBLIGADO;3602;3650;3601;3649;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4670619761867,-34.5483771911112],[-58.4671797779502,-34.5482041531497],[-58.4672993224842,-34.5480429452583]]]}
598;19047;RIVADAVIA MARTIN, COMODORO;0;0;2301;2399;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4685530396568,-34.5484837534505],[-58.4674729831034,-34.5480869508767],[-58.4672993224842,-34.5480429452583]]]}
616;20127;SUPERI;4302;4350;4301;4349;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4821757652134,-34.5486260796548],[-58.4824662597786,-34.5482406628342]]]}
637;7028;GARCIA DEL RIO AV.;2402;2500;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4698949181001,-34.5488144718724],[-58.4685085279942,-34.5485396032595]]]}
651;7028;GARCIA DEL RIO AV.;2502;2600;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4704187321566,-34.5489183179771],[-58.4698949181001,-34.5488144718724]]]}
662;4111;MONROE;802;900;801;899;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4431384445156,-34.5483347847087],[-58.4433388642649,-34.548453554602],[-58.444277312812,-34.5490098525503]]]}
666;7028;GARCIA DEL RIO AV.;0;0;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4709523360772,-34.5490240626689],[-58.4704187321566,-34.5489183179771]]]}
688;16002;VUELTA DE OBLIGADO;3502;3600;3501;3599;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4664707141641,-34.5491845724858],[-58.4670619761867,-34.5483771911112]]]}
692;23062;VILELA;3302;3400;3301;3399;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4792516131381,-34.5490804054898],[-58.4795877396146,-34.5490900078018],[-58.4799316156495,-34.5491184822156],[-58.4803292917568,-34.5491765971759],[-58.4804530568972,-34.5492039044627]]]}
697;7028;GARCIA DEL RIO AV.;2602;2700;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4719923100839,-34.549230194764],[-58.4709523360772,-34.5490240626689]]]}
708;20127;SUPERI;4202;4300;4201;4299;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4815980865642,-34.5493923329606],[-58.4821757652134,-34.5486260796548]]]}
714;7028;GARCIA DEL RIO AV.;2702;2800;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4730526326218,-34.5494404009681],[-58.4719923100839,-34.549230194764]]]}
722;6057;FREIRE, RAMON, CAP. GRAL.;4002;4100;4001;4099;FREYRE-CAPITAN RAMON FREYRE;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4776297071242,-34.5494807036603],[-58.4782263377336,-34.5492761830979],[-58.4788026337242,-34.5491293410459],[-58.4792516131381,-34.5490804054898]]]}
730;23062;VILELA;3402;3500;3401;3499;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4804530568972,-34.5492039044627],[-58.4806710505709,-34.5492519734091],[-58.4810147709388,-34.5493422082385],[-58.4813413898849,-34.549460685464],[-58.4814924031519,-34.5495324966497]]]}
731;20127;SUPERI;4152;4200;4151;4199;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4814924031519,-34.5495324966497],[-58.4815980865642,-34.5493923329606]]]}
746;7028;GARCIA DEL RIO AV.;2802;2900;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4741024057004,-34.5496484861678],[-58.4730526326218,-34.5494404009681]]]}
748;4111;MONROE;902;1000;901;999;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.444277312812,-34.5490098525503],[-58.4453736462406,-34.5496596912277]]]}
769;7028;GARCIA DEL RIO AV.;2902;3000;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4751683567461,-34.5498598002712],[-58.4741024057004,-34.5496484861678]]]}
786;16002;VUELTA DE OBLIGADO;3402;3500;3401;3499;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4659015700632,-34.5499618080647],[-58.4664707141641,-34.5491845724858]]]}
800;7028;GARCIA DEL RIO AV.;3002;3100;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4762231624374,-34.5500688526698],[-58.4751683567461,-34.5498598002712]]]}
810;23062;VILELA;3502;3600;3501;3599;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4814924031519,-34.5495324966497],[-58.4816009387759,-34.5495841020211],[-58.4817755373249,-34.5496885163546],[-58.4820076882811,-34.549848416891],[-58.482226562253,-34.5500101501767],[-58.4823409863789,-34.5501227426963]]]}
824;7028;GARCIA DEL RIO AV.;3102;3200;0;0;;AVENIDA;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4770414267735,-34.5502496127849],[-58.4768893987949,-34.5502023748282],[-58.4762231624374,-34.5500688526698]]]}
825;17087;PINTO;3902;4000;3901;3999;;CALLE;corrección numeración 5-2;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4772473880606,-34.5499803403749],[-58.4776297071242,-34.5494807036603]]]}
832;4111;MONROE;1002;1100;1001;1099;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4453736462406,-34.5496596912277],[-58.4464774862202,-34.5503138873926]]]}
860;19093;RUIZ HUIDOBRO AV.;3702;3800;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4859028464133,-34.5505595324847],[-58.4850612449393,-34.5501249397406],[-58.4849951735641,-34.5500330097881]]]}
886;16002;VUELTA DE OBLIGADO;3302;3400;3301;3399;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4653318195766,-34.5507398155889],[-58.4659015700632,-34.5499618080647]]]}
912;4111;MONROE;1102;1200;1101;1199;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4464774862202,-34.5503138873926],[-58.447632834522,-34.5509987151012]]]}
921;19093;RUIZ HUIDOBRO AV.;3802;3900;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4868354527852,-34.5510446559011],[-58.4859028464133,-34.5505595324847]]]}
932;7028;GARCIA DEL RIO;3202;3300;3201;3299;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4776645623463,-34.5511442274239],[-58.4775803667791,-34.551068952534],[-58.4774483242091,-34.5509332580362],[-58.4773062238672,-34.5507159410896],[-58.4772068575242,-34.5505223523968],[-58.4771431630992,-34.5503702402039],[-58.4770999961818,-34.5502991152356],[-58.4770414267735,-34.5502496127849]]]}
975;19093;RUIZ HUIDOBRO AV.;3902;4000;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4876552696453,-34.5514700037589],[-58.4868354527852,-34.5510446559011]]]}
982;16002;VUELTA DE OBLIGADO;3202;3300;3201;3299;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.464763505454,-34.5515157779833],[-58.4653318195766,-34.5507398155889]]]}
987;23062;VILELA;3702;3800;3701;3799;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4838041035814,-34.5516048208504],[-58.4828709971313,-34.5511167869476]]]}
988;24003;WASHINGTON;4102;4200;4101;4199;;CALLE;corrección altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4838041035814,-34.5516048208504],[-58.4843759925903,-34.5508514463362]]]}
989;6025;FIGUEROA ALCORTA, PRES. AV.;6602;6700;6601;6699;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4367409896121,-34.551609660107],[-58.4374247341636,-34.5508177950488],[-58.4375645461217,-34.5506582390421]]]}
995;4111;MONROE;1202;1300;1201;1299;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.447632834522,-34.5509987151012],[-58.4487392631806,-34.5516544403672]]]}
999;7028;GARCIA DEL RIO;3302;3400;3301;3399;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4785429211361,-34.55170569191],[-58.4784520908925,-34.5516620396702],[-58.4782204607266,-34.5515469231601],[-58.478018024094,-34.5514163088743],[-58.4777422028853,-34.5512136577213],[-58.4776645623463,-34.5511442274239]]]}
1000;19093;RUIZ HUIDOBRO AV.;4002;4100;0;0;;AVENIDA;corr. altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4884622689195,-34.5517070302235],[-58.4876552696453,-34.5514700037589]]]}
1015;19093;RUIZ HUIDOBRO AV.;0;0;0;0;;AVENIDA;no corresponde altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4884622689195,-34.5517070302235],[-58.4885548754234,-34.5516972918899],[-58.4886505572103,-34.5517230474311],[-58.4887793612544,-34.5517836565932],[-58.4888261061541,-34.5518300571955]]]}
1043;7028;GARCIA DEL RIO;3402;3500;3401;3499;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4795897810223,-34.5520319047019],[-58.4793749318057,-34.5519922140876],[-58.4792176247136,-34.5519589944969],[-58.4789362879949,-34.5518692393495],[-58.4786857640431,-34.5517744792911],[-58.4785429211361,-34.55170569191]]]}
1057;17065;PEREZ, ROQUE;3902;4000;3901;3999;URQUIZA;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4820598022479,-34.5517820898969],[-58.4816679450529,-34.5519196929689],[-58.4809249700663,-34.5521130316075],[-58.4807867598315,-34.5521713875959]]]}
1058;7028;GARCIA DEL RIO;3502;3600;3501;3599;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4807867598315,-34.5521713875959],[-58.4805712794574,-34.5521247893753],[-58.4801061296889,-34.5521017649923],[-58.4796849480568,-34.5520494979477],[-58.4795897810223,-34.5520319047019]]]}
1078;16002;VUELTA DE OBLIGADO;3102;3200;3101;3199;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4641990961884,-34.552286455652],[-58.464763505454,-34.5515157779833]]]}
1080;4111;MONROE;1302;1400;1301;1399;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4487392631806,-34.5516544403672],[-58.4498546459422,-34.5523155088409]]]}
1085;4111;MONROE;0;0;0;0;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4498546459422,-34.5523155088409],[-58.4499107347235,-34.5523486852739]]]}
1102;20127;SUPERI;3802;3900;3801;3899;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4792549235898,-34.5524726751333],[-58.4795897810223,-34.5520319047019]]]}
1107;6025;FIGUEROA ALCORTA, PRES. AV.;6502;6600;6501;6599;CENTENARIO, Av.;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4359326556848,-34.5525458668337],[-58.4367409896121,-34.551609660107]]]}
1132;19093;RUIZ HUIDOBRO AV.;4202;4300;0;0;;AVENIDA;corr.alt.8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4899051142851,-34.5527300743469],[-58.4893002206918,-34.5523674444283]]]}
1141;3156;CONGRESO;1802;1900;1801;1899;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4574054954085,-34.5528005287107],[-58.4572777343475,-34.5527343228694],[-58.4564898931534,-34.5523257453677]]]}
1151;19093;RUIZ HUIDOBRO AV.;0;0;0;0;;AVENIDA;no corresponde altura 8-1-03;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4901784834712,-34.5528779072644],[-58.4899051142851,-34.5527300743469]]]}
1153;3156;CONGRESO;0;0;0;0;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4575927538283,-34.5528975129867],[-58.4574054954085,-34.5528005287107]]]}
1156;4111;MONROE;1402;1500;1401;1499;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4499107347235,-34.5523486852739],[-58.4508558244604,-34.5529088064316]]]}
1176;16002;VUELTA DE OBLIGADO;3002;3100;3001;3099;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4636360384207,-34.5530552995338],[-58.4641990961884,-34.552286455652]]]}
1190;16025;11 DE SEPTIEMBRE DE 1888;2702;2800;2701;2799;11 DE SEPTIEMBRE;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4564898931534,-34.5523257453677],[-58.4557787288597,-34.5532258894594]]]}
1193;20127;SUPERI;3702;3800;3701;3799;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4786742119911,-34.5532369426207],[-58.4792549235898,-34.5524726751333]]]}
1206;19093;RUIZ HUIDOBRO AV.;4302;4400;0;0;;AVENIDA;se completo numeración 8-1-3;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4911110586015,-34.5533724348873],[-58.4901784834712,-34.5528779072644]]]}
1239;4111;MONROE;1502;1600;1501;1599;;CALLE;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4509126800505,-34.552942475456],[-58.452121638129,-34.5536589571645]]]}
1261;19093;RUIZ HUIDOBRO AV.;4402;4500;0;0;;AVENIDA;se completo numeración 8-1-3;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.492028149463,-34.5538577332894],[-58.4918520014238,-34.5537653768689],[-58.4911110586015,-34.5533724348873]]]}
