id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
4452;12107;DEL LIBERTADOR AV.;2602;2700;2601;2699;DEL LIBERTADOR GENERAL SAN MARTIN, Av.(parciales :;AVENIDA;Según Ley 1420 public. en el BO N° 2036 del 30/09/2004, Av. Del Libertador, los cuatro carriles adyacentes a la acera Noreste entre Jerónimo Salguero y Av. Sarmiento, sentido de circulación Sudeste - Noroeste, sólo los días hábiles de 17 a 22 hora;Ciclovías;Mano derecha;Calle;;{"type":"MultiLineString","coordinates":[[[-58.4069137778266,-34.5786825308349],[-58.4070357478743,-34.5785835214911],[-58.4076840153371,-34.5782525339869],[-58.4079071633465,-34.5781530527416]]]}
7759;22012;URIBURU JOSE E., Pres.;1202;1300;1201;1299;ANDES;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3981227957756,-34.5944286437826],[-58.3980967845058,-34.594366021937],[-58.3980717075527,-34.5943066401433],[-58.3975082938681,-34.5929714290279],[-58.3974670671638,-34.592873656679]]]}
23390;8013;HERRERA;2202;2300;2201;2299;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.3738742511987,-34.6517074004842],[-58.3738285201789,-34.6518364554683],[-58.3739582658462,-34.6529994009536]]]}
7895;13025;MANSILLA, LUCIO NORBERTO, GENERAL;2802;2900;2801;2899;MANSILLA;CALLE;Asignación de Sentido Único de Circulación de O a E según Ley N° 4414 publicada en el Boletín Oficial 4081 del 24/01/2013;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4078697949307,-34.5949902652375],[-58.4077162929673,-34.5950478744756],[-58.4066815029791,-34.5953864311305]]]}
13935;5087;ESTADOS UNIDOS;2;100;1;99;;CALLE;Asignación de Sentido único de Circulación de O a E según Ley n° 4391 publicada en Boletín Oficial 4077 del 18/01/2013;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.3672837953993,-34.6181965567718],[-58.3670894283164,-34.6181710515968],[-58.3664514379967,-34.6181201256173]]]}
25821;19057;RABANAL, FRANCISCO, INTENDENTE AV.;0;0;3201;3299;CAMINO AL PUENTE ALSINA O DE LA TABLADA-ROCA AV. T;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4393216660795,-34.6651189524141],[-58.4394562929582,-34.665277221962],[-58.440027197006,-34.6659034734823],[-58.4401551847395,-34.666037233288]]]}
26900;19057;ROCA, CNEL. AV.;0;0;4901;5199;CAMINO AL PUENTE ALSINA O DE LA TABLADA;AVENIDA;;Ciclovías;;;;{"type":"MultiLineString","coordinates":[[[-58.4526579552715,-34.681931926216],[-58.4528136085637,-34.6820751115166],[-58.4532984728463,-34.6825212172945],[-58.4540234774161,-34.6831881185447],[-58.4546609454749,-34.6837745147315],[-58.4554233956762,-34.6844758474459]]]}
18055;2139;CARRILLO, RAMON, DR.;52;70;51;69;BARRACAS-VIEYTES;CALLE;corrección numeración 31-1;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.38336991784,-34.6327478654745],[-58.3833476666586,-34.6329410263147],[-58.383339091163,-34.6330885607545],[-58.3833031929714,-34.6332969244578]]]}
13232;19046;RIVADAVIA AV.;4602;4636;4609;4631;PRIMERA JUNTA (parcial);AVENIDA;;Carriles Preferenciales;;;;{"type":"MultiLineString","coordinates":[[[-58.4302529824051,-34.6155486161375],[-58.4307760095446,-34.6157804525409]]]}
13125;19046;RIVADAVIA AV.;4502;4552;4515;4599;PRIMERA JUNTA (parcial);AVENIDA;;Carriles Preferenciales;;;;{"type":"MultiLineString","coordinates":[[[-58.4292525018146,-34.6151056540497],[-58.4300285611138,-34.6154491864935]]]}
