id;nombre;intersec;lin_sent_n;lin_sent_s;metrobus;lon;lat
62;Lisandro de la Torre;Fernández de la Cruz y Lisandro de la Torre;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4723;-34.6848
63;Piedrabuena;Entre Piedrabuena y Guaminí;36 - 143 - 150;36 - 143 - 150;Metrobus Sur - Ramal Fernández de la Cruz;-58.4757;-34.6879
64;Montiel;Fernández de la Cruz y Montiel;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4769;-34.6889
65;José L. Suárez;Entre Saladillo y José León Suárez;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz;-58.4781;-34.6901
66;Puente La Noria;;;;Metrobus Sur;-58.4618;-34.7045
67;Gral Paz;Roca Cnel y Gral Paz;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;Metrobus Sur - Ramal Coronel Roca;-58.4698;-34.6978
68;Guaminí;Entre Guaminí y Montiel;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;Metrobus Sur - Ramal Coronel Roca;-58.4674;-34.6956
69;Piedrabuena;Entre Piedrabuena y Guaminí;91 - 101 - 114 - 117;91 - 101 - 114 - 117;Metrobus Sur - Ramal Coronel Roca;-58.4663;-34.6947
70;Lisandro de la Torre;Entre Lisandro de la Torre y Timoteo Gordillo;47 - 91 - 114 - 117 -150;47 - 91 - 114 - 117;Metrobus Sur - Ramal Coronel Roca;-58.4636;-34.6921
71;Larrazábal;Entre Pasaje Roca y Larrazábal;;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4574;-34.6861
72;Escalada;Entre Escalada y Pasaje Roca;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4531;-34.6825
73;Estadio Parque Roca;Entre Escalada y Lacarra;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4481;-34.6764
74;Parque Roca;Entre Escalada y Lacarra;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4454;-34.672
75;Mariano Acosta;Entre Pergamino y Mariano Acosta;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4404;-34.6665
76;Lacarra;Entre Mariano Acosta y Lacarra;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca;-58.4423;-34.6682
