7) FUGAS DE GAS,-58.4482,-34.5952
3) INCENDIOS,-58.438,-34.6089
14) INTOXICACIONES Y CONTAMINACIONES,-58.4954,-34.5901
3) INCENDIOS,-58.3967,-34.6154
3) INCENDIOS,-58.4013,-34.6087
3) INCENDIOS,-58.4914,-34.6744
7) FUGAS DE GAS,-58.3901,-34.6583
3) INCENDIOS,-58.4338,-34.5682
7) FUGAS DE GAS,-58.4196,-34.5755
14) INTOXICACIONES Y CONTAMINACIONES,-58.5086,-34.657
14) INTOXICACIONES Y CONTAMINACIONES,-58.4677,-34.5617
14) INTOXICACIONES Y CONTAMINACIONES,-58.5279,-34.6373
7) FUGAS DE GAS,-58.4656,-34.6163
7) FUGAS DE GAS,-58.4708,-34.5804
7) FUGAS DE GAS,-58.4788,-34.5997
14) INTOXICACIONES Y CONTAMINACIONES,-58.4605,-34.6268
14) INTOXICACIONES Y CONTAMINACIONES,-58.4273,-34.6317
14) INTOXICACIONES Y CONTAMINACIONES,-58.3855,-34.6506
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4588,-34.5298
14) INTOXICACIONES Y CONTAMINACIONES,-58.5085,-34.6637
13) INTERRUPCION DE SERVICIOS BASICOS,-58.4293,-34.5773
7) FUGAS DE GAS,-58.4555,-34.5502
3) INCENDIOS,-58.4996,-34.6579
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4594,-34.53
14) INTOXICACIONES Y CONTAMINACIONES,-58.4953,-34.59
3) INCENDIOS,-58.4009,-34.6197
3) INCENDIOS,-58.4159,-34.6279
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
3) INCENDIOS,-58.386,-34.6171
3) INCENDIOS,-58.4321,-34.6028
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4586,-34.5294
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4595,-34.5294
4a) INCIDENTES EN EL TRANSPORTE,-58.382,-34.6037
3) INCENDIOS,-58.4686,-34.6305
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4586,-34.5289
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
3) INCENDIOS,-58.5117,-34.5871
3) INCENDIOS,-58.499,-34.6471
3) INCENDIOS,-58.4695,-34.6243
3) INCENDIOS,-58.4695,-34.6243
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4602,-34.5299
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
3) INCENDIOS,-58.4122,-34.6194
3) INCENDIOS,-58.476,-34.6099
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4603,-34.5303
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
14) INTOXICACIONES Y CONTAMINACIONES,-58.381,-34.605
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4596,-34.5305
3) INCENDIOS,-58.393,-34.6037
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.459,-34.5293
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
3) INCENDIOS,-58.453,-34.6445
14) INTOXICACIONES Y CONTAMINACIONES,-58.5299,-34.6406
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4592,-34.5297
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
14) INTOXICACIONES Y CONTAMINACIONES,-58.4727,-34.6111
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4598,-34.5297
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4137,-34.5721
14) INTOXICACIONES Y CONTAMINACIONES,-58.4589,-34.5577
7) FUGAS DE GAS,-58.5172,-34.6581
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4599,-34.5303
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
3) INCENDIOS,-58.4314,-34.601
14) INTOXICACIONES Y CONTAMINACIONES,-58.4641,-34.6293
10) DERRUMBES Y HUNDIMIENTO DE SUELO,-58.3855,-34.6072
3) INCENDIOS,-58.407,-34.6361
7) FUGAS DE GAS,-58.4044,-34.6227
14) INTOXICACIONES Y CONTAMINACIONES,-58.3839,-34.5878
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4592,-34.5303
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
4a) INCIDENTES EN EL TRANSPORTE,-58.4377,-34.6337
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4584,-34.5298
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4506,-34.68
14) INTOXICACIONES Y CONTAMINACIONES,-58.5036,-34.6008
5) INCIDENTES EN CONCENTRACIONES HUMANAS,-58.4582,-34.5293
